{%⻍1} ⿺{⻍K}
{眞中} {%𠃊1}目{%𠃊2} ⿺目𠃊
{禹去丿} ⿻虫冂
{穴头T} 穴
{糸言糸} 龻
{糹言糸} 龻
{繭下} {繭下}
{纟上} ⿱𠃋𠃋
{网无钩} 网
{羊连水} ⿻⺷水
{羊连氺} ⿻⺷氺
{者G} {者G}
{耒G} 耒
{耒T} 耒
{肀下平} {肀下平}
{臼中丨} {臼中丨}
{舌G} {舌G}
{舌T} {舌T}
{艮Ｋ换匕} {艮Ｋ换匕}
{艹G} 艹
{華下T} ⿱一⿻⺿{𠄟交丨}
{虍七换匕} {%虍上}匕
{虍上} ⿱⺊{丿乛}
{虎G} 虎
{言穿絲} 龻
{辣左} {辣左}
{辶G} 辶
{邦左G} {邦左}
{邦左T} {邦左}
{釜下} ⿻王丷
{非G} 非
{骨上G} {骨上}
{骨上T} {骨上}
{鬲下G} {鬲下}
{鬲下K} {鬲下}
{鱼上} {鱼上}
{麥T} {麥G}
{麥底T} ⿱來夊
{黽中} {黽中}
{黽𰀄换⺽} {黽𰀄换⺽}
{龜下} {龜下}
{Ｐ先丨} {Ｐ}
{Ｐ先𠃍} {Ｐ}
{𠀃中丨} ⿱{冂块}一
{𠁁贯穿} 𠁁
{𠂇先丿} ⿻丿一
{𠃊上⺝} {%𠃊1}{⺝无钩}{%𠃊2} ⿺{⺝无钩}𠃊
{𠃊上𠔼} {%𠃊1}{ㄇ中一}{%𠃊2} ⿺{ㄇ中一}𠃊
{𠃋交十} {𠃋交十}
{𠃋交十钩} {𠃋交十钩}
{𠃛无钩} ⿰𰀄丨
{𠄟交亅} {𠄟交亅}
{𠇇右中} {α}
{𠌆下} {%丿丨穿1}匚{%丿丨穿2}{コ}{%丿丨穿3}
{𠒅上} ⿶⿰{コ}匚凵
{𠔉K} ⿻八夫
{𠔥中} {𠔥中}
{𠔾去一} {𠔾去一}
{𠕀有钩} 𠕀
{𠙐上} {𠙐上}
{𠚒去一} ⿶⿰𠃎𠃊{%丨丨1}{⚏}{%丨丨2}
{𠮠下} {万下}
{𡔝下} {𡔝下}
{𡝤上} {𡝤上}
{𡴀歪} ⿻䶹二
{𣳋右} {%工1}⿰𠃊丨{%工2}
{𣷻右} {%二1}⿱{冂块}一{%二2} {%二1}⿴巳ㄇ{%二2} {%二1}⿴ㄇ巳{%二2}
{𦣻穿⺽} ⿱一{%⺽1}自{%⺽2}
{𦥔下一} ⿱𦥔一
{𦥯爻换丨} ⿱𦥔冖
{𦫹右} ⿻屮一
{𦫹左} ⿻䶹一
{𦮙下} ⿻乂⿱⿰凵凵⿰冂冂
{𧰧去一} {𧰧去一}
{𪚦中} ⿱⿸⿱丅匚⿱𠃑一⿺乚丨
{𪚴𠂭换一} {𪚴𠂭换一}
{𪚴𠂭换二} {𪚴𠂭换二}
{𫜹交𰀁} ⿻{𫜹交丨}二
{𬎾上平} ⿻{争下}{宽⺝}
{𬺷㇏} {𬺷㇏}
{𬺷去一} {𬺷去一}
{𬺻去一} {𬺻去一}
{𬺻去𰀪} {𬺻去𰀪}
{𬻞贯穿} 𬻞
{𬾹右下} {𬾹右下}
{𭁠冂换⺆} ⿻{月框}{𰀁先丨}
{𭆄中} {𭆄中}
{𭺪形} {𭺪形}
{𰀁中龷} {%𰀁交1}龷{%𰀁交2} ⿻一{畢下}
{𰀂⺕} {𰀂⺕}
{𰍧⺀} {𰍧⺀}
{𲅯中} {𲅯中}
