# 西夏文
U+1712E 𗄮
U+1712F 𗄯
U+17130 𗄰
U+17131 𗄱
U+17132 𗄲
U+17133 𗄳
U+17134 𗄴
U+17135 𗄵
U+17136 𗄶
U+17137 𗄷
U+17138 𗄸
U+17139 𗄹
U+1713A 𗄺
U+1713B 𗄻
U+1713C 𗄼
U+1713D 𗄽
U+1713E 𗄾
U+1713F 𗄿
U+17140 𗅀
U+17141 𗅁
U+17142 𗅂
U+17143 𗅃
U+17144 𗅄
U+17145 𗅅
U+17146 𗅆
U+17147 𗅇
U+17148 𗅈
U+17149 𗅉
U+1714A 𗅊
U+1714B 𗅋
U+1714C 𗅌
U+1714D 𗅍
U+1714E 𗅎
U+1714F 𗅏
U+17150 𗅐
U+17151 𗅑
U+17152 𗅒
U+17153 𗅓
U+17154 𗅔
U+17155 𗅕
U+17156 𗅖
U+17157 𗅗
U+17158 𗅘
U+17159 𗅙
U+1715A 𗅚
U+1715B 𗅛
U+1715C 𗅜
U+1715D 𗅝
U+1715E 𗅞
U+1715F 𗅟
U+17160 𗅠
U+17161 𗅡
U+17162 𗅢
U+17163 𗅣
U+17164 𗅤
U+17165 𗅥
U+17166 𗅦
U+17167 𗅧
U+17168 𗅨
U+17169 𗅩
U+1716A 𗅪
U+1716B 𗅫
U+1716C 𗅬
U+1716D 𗅭
U+1716E 𗅮
U+1716F 𗅯
U+17170 𗅰
U+17171 𗅱
U+17172 𗅲
U+17173 𗅳
U+17174 𗅴
U+17175 𗅵
U+17176 𗅶
U+17177 𗅷
U+17178 𗅸
U+17179 𗅹
U+1717A 𗅺
U+1717B 𗅻
U+1717C 𗅼
U+1717D 𗅽
U+1717E 𗅾
U+1717F 𗅿
U+17180 𗆀
U+17181 𗆁
U+17182 𗆂
U+17183 𗆃
U+17184 𗆄
U+17185 𗆅
U+17186 𗆆
U+17187 𗆇
U+17188 𗆈
U+17189 𗆉
U+1718A 𗆊
U+1718B 𗆋
U+1718C 𗆌
U+1718D 𗆍
U+1718E 𗆎
U+1718F 𗆏
U+17190 𗆐
U+17191 𗆑
U+17192 𗆒
U+17193 𗆓
U+17194 𗆔
U+17195 𗆕
U+17196 𗆖
U+17197 𗆗
U+17198 𗆘
U+17199 𗆙
U+1719A 𗆚
U+1719B 𗆛
U+1719C 𗆜
U+1719D 𗆝
U+1719E 𗆞
U+1719F 𗆟
U+171A0 𗆠
U+171A1 𗆡
U+171A2 𗆢
U+171A3 𗆣
U+171A4 𗆤
U+171A5 𗆥
U+171A6 𗆦
U+171A7 𗆧
U+171A8 𗆨
U+171A9 𗆩
U+171AA 𗆪
U+171AB 𗆫
U+171AC 𗆬
U+171AD 𗆭
U+171AE 𗆮
U+171AF 𗆯
U+171B0 𗆰
U+171B1 𗆱
U+171B2 𗆲
U+171B3 𗆳
U+171B4 𗆴
U+171B5 𗆵
U+171B6 𗆶
U+171B7 𗆷
U+171B8 𗆸
U+171B9 𗆹
U+171BA 𗆺
U+171BB 𗆻
U+171BC 𗆼
U+171BD 𗆽
U+171BE 𗆾
U+171BF 𗆿
U+171C0 𗇀
U+171C1 𗇁
U+171C2 𗇂
U+171C3 𗇃
U+171C4 𗇄
U+171C5 𗇅
U+171C6 𗇆
U+171C7 𗇇
U+171C8 𗇈
U+171C9 𗇉
U+171CA 𗇊
U+171CB 𗇋
U+171CC 𗇌
U+171CD 𗇍
U+171CE 𗇎
U+171CF 𗇏
U+171D0 𗇐
U+171D1 𗇑
U+171D2 𗇒
U+171D3 𗇓
U+171D4 𗇔
U+171D5 𗇕
U+171D6 𗇖
U+171D7 𗇗
U+171D8 𗇘
U+171D9 𗇙
U+171DA 𗇚
U+171DB 𗇛
U+171DC 𗇜
U+171DD 𗇝
U+171DE 𗇞
U+171DF 𗇟
U+171E0 𗇠
U+171E1 𗇡
U+171E2 𗇢
U+171E3 𗇣
U+171E4 𗇤
U+171E5 𗇥
U+171E6 𗇦
U+171E7 𗇧
U+171E8 𗇨
U+171E9 𗇩
U+171EA 𗇪
U+171EB 𗇫
U+171EC 𗇬
U+171ED 𗇭
U+171EE 𗇮
U+171EF 𗇯
U+171F0 𗇰
U+171F1 𗇱
U+171F2 𗇲
U+171F3 𗇳
U+171F4 𗇴
U+171F5 𗇵
U+171F6 𗇶
U+171F7 𗇷
U+171F8 𗇸
U+171F9 𗇹
U+171FA 𗇺
U+171FB 𗇻
U+171FC 𗇼
U+171FD 𗇽
U+171FE 𗇾
U+171FF 𗇿
U+17200 𗈀
U+17201 𗈁
U+17202 𗈂
U+17203 𗈃
U+17204 𗈄
U+17205 𗈅
U+17206 𗈆
U+17207 𗈇
U+17208 𗈈
U+17209 𗈉
U+1720A 𗈊
U+1720B 𗈋
U+1720C 𗈌
U+1720D 𗈍
U+1720E 𗈎
U+1720F 𗈏
U+17210 𗈐
U+17211 𗈑
U+17212 𗈒
U+17213 𗈓
U+17214 𗈔
U+17215 𗈕
U+17216 𗈖
U+17217 𗈗
U+17218 𗈘
U+17219 𗈙
U+1721A 𗈚
U+1721B 𗈛
U+1721C 𗈜
U+1721D 𗈝
U+1721E 𗈞
U+1721F 𗈟
U+17220 𗈠
U+17221 𗈡
U+17222 𗈢
U+17223 𗈣
U+17224 𗈤
U+17225 𗈥
U+17226 𗈦
U+17227 𗈧
U+17228 𗈨
U+17229 𗈩
U+1722A 𗈪
U+1722B 𗈫
U+1722C 𗈬
U+1722D 𗈭
U+1722E 𗈮
U+1722F 𗈯
U+17230 𗈰
U+17231 𗈱
U+17232 𗈲
U+17233 𗈳
U+17234 𗈴
U+17235 𗈵
U+17236 𗈶
U+17237 𗈷
U+17238 𗈸
U+17239 𗈹
U+1723A 𗈺
U+1723B 𗈻
U+1723C 𗈼
U+1723D 𗈽
U+1723E 𗈾
U+1723F 𗈿
U+17240 𗉀
U+17241 𗉁
U+17242 𗉂
U+17243 𗉃
U+17244 𗉄
U+17245 𗉅
U+17246 𗉆
U+17247 𗉇
U+17248 𗉈
U+17249 𗉉
U+1724A 𗉊
U+1724B 𗉋
U+1724C 𗉌
U+1724D 𗉍
U+1724E 𗉎
U+1724F 𗉏
U+17250 𗉐
U+17251 𗉑
U+17252 𗉒
U+17253 𗉓
U+17254 𗉔
U+17255 𗉕
U+17256 𗉖
U+17257 𗉗
U+17258 𗉘
U+17259 𗉙
U+1725A 𗉚
U+1725B 𗉛
U+1725C 𗉜
U+1725D 𗉝
U+1725E 𗉞
U+1725F 𗉟
U+17260 𗉠
U+17261 𗉡
U+17262 𗉢
U+17263 𗉣
U+17264 𗉤
U+17265 𗉥
U+17266 𗉦
U+17267 𗉧
U+17268 𗉨
U+17269 𗉩
U+1726A 𗉪
U+1726B 𗉫
U+1726C 𗉬
U+1726D 𗉭
U+1726E 𗉮
U+1726F 𗉯
U+17270 𗉰
U+17271 𗉱
U+17272 𗉲
U+17273 𗉳
U+17274 𗉴
U+17275 𗉵
U+17276 𗉶
U+17277 𗉷
U+17278 𗉸
U+17279 𗉹
U+1727A 𗉺
U+1727B 𗉻
U+1727C 𗉼
U+1727D 𗉽
U+1727E 𗉾
U+1727F 𗉿
U+17280 𗊀
U+17281 𗊁
U+17282 𗊂
U+17283 𗊃
U+17284 𗊄
U+17285 𗊅
U+17286 𗊆
U+17287 𗊇
U+17288 𗊈
U+17289 𗊉
U+1728A 𗊊
U+1728B 𗊋
U+1728C 𗊌
U+1728D 𗊍
U+1728E 𗊎
U+1728F 𗊏
U+17290 𗊐
U+17291 𗊑
U+17292 𗊒
U+17293 𗊓
U+17294 𗊔
U+17295 𗊕
U+17296 𗊖
U+17297 𗊗
U+17298 𗊘
U+17299 𗊙
U+1729A 𗊚
U+1729B 𗊛
U+1729C 𗊜
U+1729D 𗊝
U+1729E 𗊞
U+1729F 𗊟
U+172A0 𗊠
U+172A1 𗊡
U+172A2 𗊢
U+172A3 𗊣
U+172A4 𗊤
U+172A5 𗊥
U+172A6 𗊦
U+172A7 𗊧
U+172A8 𗊨
U+172A9 𗊩
U+172AA 𗊪
U+172AB 𗊫
U+172AC 𗊬
U+172AD 𗊭
U+172AE 𗊮
U+172AF 𗊯
U+172B0 𗊰
U+172B1 𗊱
U+172B2 𗊲
U+172B3 𗊳
U+172B4 𗊴
U+172B5 𗊵
U+172B6 𗊶
U+172B7 𗊷
U+172B8 𗊸
U+172B9 𗊹
U+172BA 𗊺
U+172BB 𗊻
U+172BC 𗊼
U+172BD 𗊽
U+172BE 𗊾
U+172BF 𗊿
U+172C0 𗋀
U+172C1 𗋁
U+172C2 𗋂
U+172C3 𗋃
U+172C4 𗋄
U+172C5 𗋅
U+172C6 𗋆
U+172C7 𗋇
U+172C8 𗋈
U+172C9 𗋉
U+172CA 𗋊
U+172CB 𗋋
U+172CC 𗋌
U+172CD 𗋍
U+172CE 𗋎
U+172CF 𗋏
U+172D0 𗋐
U+172D1 𗋑
U+172D2 𗋒
U+172D3 𗋓
U+172D4 𗋔
U+172D5 𗋕
U+172D6 𗋖
U+172D7 𗋗
U+172D8 𗋘
U+172D9 𗋙
U+172DA 𗋚
U+172DB 𗋛
U+172DC 𗋜
U+172DD 𗋝
U+172DE 𗋞
U+172DF 𗋟
U+172E0 𗋠
U+172E1 𗋡
U+172E2 𗋢
U+172E3 𗋣
U+172E4 𗋤
U+172E5 𗋥
U+172E6 𗋦
U+172E7 𗋧
U+172E8 𗋨
U+172E9 𗋩
U+172EA 𗋪
U+172EB 𗋫
U+172EC 𗋬
U+172ED 𗋭
U+172EE 𗋮
U+172EF 𗋯
U+172F0 𗋰
U+172F1 𗋱
U+172F2 𗋲
U+172F3 𗋳
U+172F4 𗋴
U+172F5 𗋵
U+172F6 𗋶
U+172F7 𗋷
U+172F8 𗋸
U+172F9 𗋹
U+172FA 𗋺
U+172FB 𗋻
U+172FC 𗋼
U+172FD 𗋽
U+172FE 𗋾
U+172FF 𗋿
U+17300 𗌀
U+17301 𗌁
U+17302 𗌂
U+17303 𗌃
U+17304 𗌄
U+17305 𗌅
U+17306 𗌆
U+17307 𗌇
U+17308 𗌈
U+17309 𗌉
U+1730A 𗌊
U+1730B 𗌋
U+1730C 𗌌
U+1730D 𗌍
U+1730E 𗌎
U+1730F 𗌏
U+17310 𗌐
U+17311 𗌑
U+17312 𗌒
U+17313 𗌓
U+17314 𗌔
U+17315 𗌕
U+17316 𗌖
U+17317 𗌗
U+17318 𗌘
U+17319 𗌙
U+1731A 𗌚
U+1731B 𗌛
U+1731C 𗌜
U+1731D 𗌝
U+1731E 𗌞
U+1731F 𗌟
U+17320 𗌠
U+17321 𗌡
U+17322 𗌢
U+17323 𗌣
U+17324 𗌤
U+17325 𗌥
U+17326 𗌦
U+17327 𗌧
U+17328 𗌨
U+17329 𗌩
U+1732A 𗌪
U+1732B 𗌫
U+1732C 𗌬
U+1732D 𗌭
U+1732E 𗌮
U+1732F 𗌯
U+17330 𗌰
U+17331 𗌱
U+17332 𗌲
U+17333 𗌳
U+17334 𗌴
U+17335 𗌵
U+17336 𗌶
U+17337 𗌷
U+17338 𗌸
U+17339 𗌹
U+1733A 𗌺
U+1733B 𗌻
U+1733C 𗌼
U+1733D 𗌽
U+1733E 𗌾
U+1733F 𗌿
U+17340 𗍀
U+17341 𗍁
U+17342 𗍂
U+17343 𗍃
U+17344 𗍄
U+17345 𗍅
U+17346 𗍆
U+17347 𗍇
U+17348 𗍈
U+17349 𗍉
U+1734A 𗍊
U+1734B 𗍋
U+1734C 𗍌
U+1734D 𗍍
U+1734E 𗍎
U+1734F 𗍏
U+17350 𗍐
U+17351 𗍑
U+17352 𗍒
U+17353 𗍓
U+17354 𗍔
U+17355 𗍕
U+17356 𗍖
U+17357 𗍗
U+17358 𗍘
U+17359 𗍙
U+1735A 𗍚
U+1735B 𗍛
U+1735C 𗍜
U+1735D 𗍝
U+1735E 𗍞
U+1735F 𗍟
U+17360 𗍠
U+17361 𗍡
U+17362 𗍢
U+17363 𗍣
U+17364 𗍤
U+17365 𗍥
U+17366 𗍦
U+17367 𗍧
U+17368 𗍨
U+17369 𗍩
U+1736A 𗍪
U+1736B 𗍫
U+1736C 𗍬
U+1736D 𗍭
U+1736E 𗍮
U+1736F 𗍯
U+17370 𗍰
U+17371 𗍱
U+17372 𗍲
U+17373 𗍳
U+17374 𗍴
U+17375 𗍵
U+17376 𗍶
U+17377 𗍷
U+17378 𗍸
U+17379 𗍹
U+1737A 𗍺
U+1737B 𗍻
U+1737C 𗍼
U+1737D 𗍽
U+1737E 𗍾
U+1737F 𗍿
U+17380 𗎀
U+17381 𗎁
U+17382 𗎂
U+17383 𗎃
U+17384 𗎄
U+17385 𗎅
U+17386 𗎆
U+17387 𗎇
U+17388 𗎈
U+17389 𗎉
U+1738A 𗎊
U+1738B 𗎋
U+1738C 𗎌
U+1738D 𗎍
U+1738E 𗎎
U+1738F 𗎏
U+17390 𗎐
U+17391 𗎑
U+17392 𗎒
U+17393 𗎓
U+17394 𗎔
U+17395 𗎕
U+17396 𗎖
U+17397 𗎗
U+17398 𗎘
U+17399 𗎙
U+1739A 𗎚
U+1739B 𗎛
U+1739C 𗎜
U+1739D 𗎝
U+1739E 𗎞
U+1739F 𗎟
U+173A0 𗎠
U+173A1 𗎡
U+173A2 𗎢
U+173A3 𗎣
U+173A4 𗎤
U+173A5 𗎥
U+173A6 𗎦
U+173A7 𗎧
U+173A8 𗎨
U+173A9 𗎩
U+173AA 𗎪
U+173AB 𗎫
U+173AC 𗎬
U+173AD 𗎭
U+173AE 𗎮
U+173AF 𗎯
U+173B0 𗎰
U+173B1 𗎱
U+173B2 𗎲
U+173B3 𗎳
U+173B4 𗎴
U+173B5 𗎵
U+173B6 𗎶
U+173B7 𗎷
U+173B8 𗎸
U+173B9 𗎹
U+173BA 𗎺
U+173BB 𗎻
U+173BC 𗎼
U+173BD 𗎽
U+173BE 𗎾
U+173BF 𗎿
U+173C0 𗏀
U+173C1 𗏁
U+173C2 𗏂
U+173C3 𗏃
U+173C4 𗏄
U+173C5 𗏅
U+173C6 𗏆
U+173C7 𗏇
U+173C8 𗏈
U+173C9 𗏉
U+173CA 𗏊
U+173CB 𗏋
U+173CC 𗏌
U+173CD 𗏍
U+173CE 𗏎
U+173CF 𗏏
U+173D0 𗏐
U+173D1 𗏑
U+173D2 𗏒
U+173D3 𗏓
U+173D4 𗏔
U+173D5 𗏕
U+173D6 𗏖
U+173D7 𗏗
U+173D8 𗏘
U+173D9 𗏙
U+173DA 𗏚
U+173DB 𗏛
U+173DC 𗏜
U+173DD 𗏝
U+173DE 𗏞
U+173DF 𗏟
U+173E0 𗏠
U+173E1 𗏡
U+173E2 𗏢
U+173E3 𗏣
U+173E4 𗏤
U+173E5 𗏥
U+173E6 𗏦
U+173E7 𗏧
U+173E8 𗏨
U+173E9 𗏩
U+173EA 𗏪
U+173EB 𗏫
U+173EC 𗏬
U+173ED 𗏭
U+173EE 𗏮
U+173EF 𗏯
U+173F0 𗏰
U+173F1 𗏱
U+173F2 𗏲
U+173F3 𗏳
U+173F4 𗏴
U+173F5 𗏵
U+173F6 𗏶
U+173F7 𗏷
U+173F8 𗏸
U+173F9 𗏹
U+173FA 𗏺
U+173FB 𗏻
U+173FC 𗏼
U+173FD 𗏽
U+173FE 𗏾
U+173FF 𗏿
U+17400 𗐀
U+17401 𗐁
U+17402 𗐂
U+17403 𗐃
U+17404 𗐄
U+17405 𗐅
U+17406 𗐆
U+17407 𗐇
U+17408 𗐈
U+17409 𗐉
U+1740A 𗐊
U+1740B 𗐋
U+1740C 𗐌
U+1740D 𗐍
U+1740E 𗐎
U+1740F 𗐏
U+17410 𗐐
U+17411 𗐑
U+17412 𗐒
U+17413 𗐓
U+17414 𗐔
U+17415 𗐕
U+17416 𗐖
U+17417 𗐗
U+17418 𗐘
U+17419 𗐙
U+1741A 𗐚
U+1741B 𗐛
U+1741C 𗐜
U+1741D 𗐝
U+1741E 𗐞
