# 西夏文
U+17526 𗔦
U+17527 𗔧
U+17528 𗔨
U+17529 𗔩
U+1752A 𗔪
U+1752B 𗔫
U+1752C 𗔬
U+1752D 𗔭
U+1752E 𗔮
U+1752F 𗔯
U+17530 𗔰
U+17531 𗔱
U+17532 𗔲
U+17533 𗔳
U+17534 𗔴
U+17535 𗔵
U+17536 𗔶
U+17537 𗔷
U+17538 𗔸
U+17539 𗔹
U+1753A 𗔺
U+1753B 𗔻
U+1753C 𗔼
U+1753D 𗔽
U+1753E 𗔾
U+1753F 𗔿
U+17540 𗕀
U+17541 𗕁
U+17542 𗕂
U+17543 𗕃
U+17544 𗕄
U+17545 𗕅
U+17546 𗕆
U+17547 𗕇
U+17548 𗕈
U+17549 𗕉
U+1754A 𗕊
U+1754B 𗕋
U+1754C 𗕌
U+1754D 𗕍
U+1754E 𗕎
U+1754F 𗕏
U+17550 𗕐
U+17551 𗕑
U+17552 𗕒
U+17553 𗕓
U+17554 𗕔
U+17555 𗕕
U+17556 𗕖
U+17557 𗕗
U+17558 𗕘
U+17559 𗕙
U+1755A 𗕚
U+1755B 𗕛
U+1755C 𗕜
U+1755D 𗕝
U+1755E 𗕞
U+1755F 𗕟
U+17560 𗕠
U+17561 𗕡
U+17562 𗕢
U+17563 𗕣
U+17564 𗕤
U+17565 𗕥
U+17566 𗕦
U+17567 𗕧
U+17568 𗕨
U+17569 𗕩
U+1756A 𗕪
U+1756B 𗕫
U+1756C 𗕬
U+1756D 𗕭
U+1756E 𗕮
U+1756F 𗕯
U+17570 𗕰
U+17571 𗕱
U+17572 𗕲
U+17573 𗕳
U+17574 𗕴
U+17575 𗕵
U+17576 𗕶
U+17577 𗕷
U+17578 𗕸
U+17579 𗕹
U+1757A 𗕺
U+1757B 𗕻
U+1757C 𗕼
U+1757D 𗕽
U+1757E 𗕾
U+1757F 𗕿
U+17580 𗖀
U+17581 𗖁
U+17582 𗖂
U+17583 𗖃
U+17584 𗖄
U+17585 𗖅
U+17586 𗖆
U+17587 𗖇
U+17588 𗖈
U+17589 𗖉
U+1758A 𗖊
U+1758B 𗖋
U+1758C 𗖌
U+1758D 𗖍
U+1758E 𗖎
U+1758F 𗖏
U+17590 𗖐
U+17591 𗖑
U+17592 𗖒
U+17593 𗖓
U+17594 𗖔
U+17595 𗖕
U+17596 𗖖
U+17597 𗖗
U+17598 𗖘
U+17599 𗖙
U+1759A 𗖚
U+1759B 𗖛
U+1759C 𗖜
U+1759D 𗖝
U+1759E 𗖞
U+1759F 𗖟
U+175A0 𗖠
U+175A1 𗖡
U+175A2 𗖢
U+175A3 𗖣
U+175A4 𗖤
U+175A5 𗖥
U+175A6 𗖦
U+175A7 𗖧
U+175A8 𗖨
U+175A9 𗖩
U+175AA 𗖪
U+175AB 𗖫
U+175AC 𗖬
U+175AD 𗖭
U+175AE 𗖮
U+175AF 𗖯
U+175B0 𗖰
U+175B1 𗖱
U+175B2 𗖲
U+175B3 𗖳
U+175B4 𗖴
U+175B5 𗖵
U+175B6 𗖶
U+175B7 𗖷
U+175B8 𗖸
U+175B9 𗖹
U+175BA 𗖺
U+175BB 𗖻
U+175BC 𗖼
U+175BD 𗖽
U+175BE 𗖾
U+175BF 𗖿
U+175C0 𗗀
U+175C1 𗗁
U+175C2 𗗂
U+175C3 𗗃
U+175C4 𗗄
U+175C5 𗗅
U+175C6 𗗆
U+175C7 𗗇
U+175C8 𗗈
U+175C9 𗗉
U+175CA 𗗊
U+175CB 𗗋
U+175CC 𗗌
U+175CD 𗗍
U+175CE 𗗎
U+175CF 𗗏
U+175D0 𗗐
U+175D1 𗗑
U+175D2 𗗒
U+175D3 𗗓
U+175D4 𗗔
U+175D5 𗗕
U+175D6 𗗖
U+175D7 𗗗
U+175D8 𗗘
U+175D9 𗗙
U+175DA 𗗚
U+175DB 𗗛
U+175DC 𗗜
U+175DD 𗗝
U+175DE 𗗞
U+175DF 𗗟
U+175E0 𗗠
U+175E1 𗗡
U+175E2 𗗢
U+175E3 𗗣
U+175E4 𗗤
U+175E5 𗗥
U+175E6 𗗦
U+175E7 𗗧
U+175E8 𗗨
U+175E9 𗗩
U+175EA 𗗪
U+175EB 𗗫
U+175EC 𗗬
U+175ED 𗗭
U+175EE 𗗮
U+175EF 𗗯
U+175F0 𗗰
U+175F1 𗗱
U+175F2 𗗲
U+175F3 𗗳
U+175F4 𗗴
U+175F5 𗗵
U+175F6 𗗶
U+175F7 𗗷
U+175F8 𗗸
U+175F9 𗗹
U+175FA 𗗺
U+175FB 𗗻
U+175FC 𗗼
U+175FD 𗗽
U+175FE 𗗾
U+175FF 𗗿
U+17600 𗘀
U+17601 𗘁
U+17602 𗘂
U+17603 𗘃
U+17604 𗘄
U+17605 𗘅
U+17606 𗘆
U+17607 𗘇
U+17608 𗘈
U+17609 𗘉
U+1760A 𗘊
U+1760B 𗘋
U+1760C 𗘌
U+1760D 𗘍
U+1760E 𗘎
U+1760F 𗘏
U+17610 𗘐
U+17611 𗘑
U+17612 𗘒
U+17613 𗘓
U+17614 𗘔
U+17615 𗘕
U+17616 𗘖
U+17617 𗘗
U+17618 𗘘
U+17619 𗘙
U+1761A 𗘚
U+1761B 𗘛
U+1761C 𗘜
U+1761D 𗘝
U+1761E 𗘞
U+1761F 𗘟
U+17620 𗘠
U+17621 𗘡
U+17622 𗘢
U+17623 𗘣
U+17624 𗘤
U+17625 𗘥
U+17626 𗘦
U+17627 𗘧
U+17628 𗘨
U+17629 𗘩
U+1762A 𗘪
U+1762B 𗘫
U+1762C 𗘬
U+1762D 𗘭
U+1762E 𗘮
U+1762F 𗘯
U+17630 𗘰
U+17631 𗘱
U+17632 𗘲
U+17633 𗘳
U+17634 𗘴
U+17635 𗘵
U+17636 𗘶
U+17637 𗘷
U+17638 𗘸
U+17639 𗘹
U+1763A 𗘺
U+1763B 𗘻
U+1763C 𗘼
U+1763D 𗘽
U+1763E 𗘾
U+1763F 𗘿
U+17640 𗙀
U+17641 𗙁
U+17642 𗙂
U+17643 𗙃
U+17644 𗙄
U+17645 𗙅
U+17646 𗙆
U+17647 𗙇
U+17648 𗙈
U+17649 𗙉
U+1764A 𗙊
U+1764B 𗙋
U+1764C 𗙌
U+1764D 𗙍
U+1764E 𗙎
U+1764F 𗙏
U+17650 𗙐
U+17651 𗙑
U+17652 𗙒
U+17653 𗙓
U+17654 𗙔
U+17655 𗙕
U+17656 𗙖
U+17657 𗙗
U+17658 𗙘
U+17659 𗙙
U+1765A 𗙚
U+1765B 𗙛
U+1765C 𗙜
U+1765D 𗙝
U+1765E 𗙞
U+1765F 𗙟
U+17660 𗙠
U+17661 𗙡
U+17662 𗙢
U+17663 𗙣
U+17664 𗙤
U+17665 𗙥
U+17666 𗙦
U+17667 𗙧
U+17668 𗙨
U+17669 𗙩
U+1766A 𗙪
U+1766B 𗙫
U+1766C 𗙬
U+1766D 𗙭
U+1766E 𗙮
U+1766F 𗙯
U+17670 𗙰
U+17671 𗙱
U+17672 𗙲
U+17673 𗙳
U+17674 𗙴
U+17675 𗙵
U+17676 𗙶
U+17677 𗙷
U+17678 𗙸
U+17679 𗙹
U+1767A 𗙺
U+1767B 𗙻
U+1767C 𗙼
U+1767D 𗙽
U+1767E 𗙾
U+1767F 𗙿
U+17680 𗚀
U+17681 𗚁
U+17682 𗚂
U+17683 𗚃
U+17684 𗚄
U+17685 𗚅
U+17686 𗚆
U+17687 𗚇
U+17688 𗚈
U+17689 𗚉
U+1768A 𗚊
U+1768B 𗚋
U+1768C 𗚌
U+1768D 𗚍
U+1768E 𗚎
U+1768F 𗚏
U+17690 𗚐
U+17691 𗚑
U+17692 𗚒
U+17693 𗚓
U+17694 𗚔
U+17695 𗚕
U+17696 𗚖
U+17697 𗚗
U+17698 𗚘
U+17699 𗚙
U+1769A 𗚚
U+1769B 𗚛
U+1769C 𗚜
U+1769D 𗚝
U+1769E 𗚞
U+1769F 𗚟
U+176A0 𗚠
U+176A1 𗚡
U+176A2 𗚢
U+176A3 𗚣
U+176A4 𗚤
U+176A5 𗚥
U+176A6 𗚦
U+176A7 𗚧
U+176A8 𗚨
U+176A9 𗚩
U+176AA 𗚪
U+176AB 𗚫
U+176AC 𗚬
U+176AD 𗚭
U+176AE 𗚮
U+176AF 𗚯
U+176B0 𗚰
U+176B1 𗚱
U+176B2 𗚲
U+176B3 𗚳
U+176B4 𗚴
U+176B5 𗚵
U+176B6 𗚶
U+176B7 𗚷
U+176B8 𗚸
U+176B9 𗚹
U+176BA 𗚺
U+176BB 𗚻
U+176BC 𗚼
U+176BD 𗚽
U+176BE 𗚾
U+176BF 𗚿
U+176C0 𗛀
U+176C1 𗛁
U+176C2 𗛂
U+176C3 𗛃
U+176C4 𗛄
U+176C5 𗛅
U+176C6 𗛆
U+176C7 𗛇
U+176C8 𗛈
U+176C9 𗛉
U+176CA 𗛊
U+176CB 𗛋
U+176CC 𗛌
U+176CD 𗛍
U+176CE 𗛎
U+176CF 𗛏
U+176D0 𗛐
U+176D1 𗛑
U+176D2 𗛒
U+176D3 𗛓
U+176D4 𗛔
U+176D5 𗛕
U+176D6 𗛖
U+176D7 𗛗
U+176D8 𗛘
U+176D9 𗛙
U+176DA 𗛚
U+176DB 𗛛
U+176DC 𗛜
U+176DD 𗛝
U+176DE 𗛞
U+176DF 𗛟
U+176E0 𗛠
U+176E1 𗛡
U+176E2 𗛢
U+176E3 𗛣
U+176E4 𗛤
U+176E5 𗛥
U+176E6 𗛦
U+176E7 𗛧
U+176E8 𗛨
U+176E9 𗛩
U+176EA 𗛪
U+176EB 𗛫
U+176EC 𗛬
U+176ED 𗛭
U+176EE 𗛮
U+176EF 𗛯
U+176F0 𗛰
U+176F1 𗛱
U+176F2 𗛲
U+176F3 𗛳
U+176F4 𗛴
U+176F5 𗛵
U+176F6 𗛶
U+176F7 𗛷
U+176F8 𗛸
U+176F9 𗛹
U+176FA 𗛺
U+176FB 𗛻
U+176FC 𗛼
U+176FD 𗛽
U+176FE 𗛾
U+176FF 𗛿
U+17700 𗜀
U+17701 𗜁
U+17702 𗜂
U+17703 𗜃
U+17704 𗜄
U+17705 𗜅
U+17706 𗜆
U+17707 𗜇
U+17708 𗜈
U+17709 𗜉
U+1770A 𗜊
U+1770B 𗜋
U+1770C 𗜌
U+1770D 𗜍
U+1770E 𗜎
U+1770F 𗜏
U+17710 𗜐
U+17711 𗜑
U+17712 𗜒
U+17713 𗜓
U+17714 𗜔
U+17715 𗜕
U+17716 𗜖
U+17717 𗜗
U+17718 𗜘
U+17719 𗜙
U+1771A 𗜚
U+1771B 𗜛
U+1771C 𗜜
U+1771D 𗜝
U+1771E 𗜞
U+1771F 𗜟
U+17720 𗜠
U+17721 𗜡
U+17722 𗜢
U+17723 𗜣
U+17724 𗜤
U+17725 𗜥
U+17726 𗜦
U+17727 𗜧
U+17728 𗜨
U+17729 𗜩
U+1772A 𗜪
U+1772B 𗜫
U+1772C 𗜬
U+1772D 𗜭
U+1772E 𗜮
U+1772F 𗜯
U+17730 𗜰
U+17731 𗜱
U+17732 𗜲
U+17733 𗜳
U+17734 𗜴
U+17735 𗜵
U+17736 𗜶
U+17737 𗜷
U+17738 𗜸
U+17739 𗜹
U+1773A 𗜺
U+1773B 𗜻
U+1773C 𗜼
U+1773D 𗜽
U+1773E 𗜾
U+1773F 𗜿
U+17740 𗝀
U+17741 𗝁
U+17742 𗝂
U+17743 𗝃
U+17744 𗝄
U+17745 𗝅
U+17746 𗝆
U+17747 𗝇
U+17748 𗝈
U+17749 𗝉
U+1774A 𗝊
U+1774B 𗝋
U+1774C 𗝌
U+1774D 𗝍
U+1774E 𗝎
U+1774F 𗝏
U+17750 𗝐
U+17751 𗝑
U+17752 𗝒
U+17753 𗝓
U+17754 𗝔
U+17755 𗝕
U+17756 𗝖
U+17757 𗝗
U+17758 𗝘
U+17759 𗝙
U+1775A 𗝚
U+1775B 𗝛
U+1775C 𗝜
U+1775D 𗝝
U+1775E 𗝞
U+1775F 𗝟
U+17760 𗝠
U+17761 𗝡
U+17762 𗝢
U+17763 𗝣
U+17764 𗝤
U+17765 𗝥
U+17766 𗝦
U+17767 𗝧
U+17768 𗝨
U+17769 𗝩
U+1776A 𗝪
U+1776B 𗝫
U+1776C 𗝬
U+1776D 𗝭
U+1776E 𗝮
U+1776F 𗝯
U+17770 𗝰
U+17771 𗝱
U+17772 𗝲
U+17773 𗝳
U+17774 𗝴
U+17775 𗝵
U+17776 𗝶
U+17777 𗝷
U+17778 𗝸
U+17779 𗝹
U+1777A 𗝺
U+1777B 𗝻
U+1777C 𗝼
U+1777D 𗝽
U+1777E 𗝾
U+1777F 𗝿
U+17780 𗞀
U+17781 𗞁
U+17782 𗞂
U+17783 𗞃
U+17784 𗞄
U+17785 𗞅
U+17786 𗞆
U+17787 𗞇
U+17788 𗞈
U+17789 𗞉
U+1778A 𗞊
U+1778B 𗞋
U+1778C 𗞌
U+1778D 𗞍
U+1778E 𗞎
U+1778F 𗞏
U+17790 𗞐
U+17791 𗞑
U+17792 𗞒
U+17793 𗞓
U+17794 𗞔
U+17795 𗞕
U+17796 𗞖
U+17797 𗞗
U+17798 𗞘
U+17799 𗞙
U+1779A 𗞚
U+1779B 𗞛
U+1779C 𗞜
U+1779D 𗞝
U+1779E 𗞞
U+1779F 𗞟
U+177A0 𗞠
U+177A1 𗞡
U+177A2 𗞢
U+177A3 𗞣
U+177A4 𗞤
U+177A5 𗞥
U+177A6 𗞦
U+177A7 𗞧
U+177A8 𗞨
U+177A9 𗞩
U+177AA 𗞪
U+177AB 𗞫
U+177AC 𗞬
U+177AD 𗞭
U+177AE 𗞮
U+177AF 𗞯
U+177B0 𗞰
U+177B1 𗞱
U+177B2 𗞲
U+177B3 𗞳
U+177B4 𗞴
U+177B5 𗞵
U+177B6 𗞶
U+177B7 𗞷
U+177B8 𗞸
U+177B9 𗞹
U+177BA 𗞺
U+177BB 𗞻
U+177BC 𗞼
U+177BD 𗞽
U+177BE 𗞾
U+177BF 𗞿
U+177C0 𗟀
U+177C1 𗟁
U+177C2 𗟂
U+177C3 𗟃
U+177C4 𗟄
U+177C5 𗟅
U+177C6 𗟆
U+177C7 𗟇
U+177C8 𗟈
U+177C9 𗟉
U+177CA 𗟊
U+177CB 𗟋
U+177CC 𗟌
U+177CD 𗟍
U+177CE 𗟎
U+177CF 𗟏
U+177D0 𗟐
U+177D1 𗟑
U+177D2 𗟒
U+177D3 𗟓
U+177D4 𗟔
U+177D5 𗟕
U+177D6 𗟖
U+177D7 𗟗
U+177D8 𗟘
U+177D9 𗟙
U+177DA 𗟚
U+177DB 𗟛
U+177DC 𗟜
U+177DD 𗟝
U+177DE 𗟞
U+177DF 𗟟
U+177E0 𗟠
U+177E1 𗟡
U+177E2 𗟢
U+177E3 𗟣
U+177E4 𗟤
U+177E5 𗟥
U+177E6 𗟦
U+177E7 𗟧
U+177E8 𗟨
U+177E9 𗟩
U+177EA 𗟪
U+177EB 𗟫
U+177EC 𗟬
U+177ED 𗟭
U+177EE 𗟮
U+177EF 𗟯
U+177F0 𗟰
U+177F1 𗟱
U+177F2 𗟲
U+177F3 𗟳
U+177F4 𗟴
U+177F5 𗟵
U+177F6 𗟶
U+177F7 𗟷
U+177F8 𗟸
U+177F9 𗟹
U+177FA 𗟺
U+177FB 𗟻
U+177FC 𗟼
U+177FD 𗟽
U+177FE 𗟾
U+177FF 𗟿
U+17800 𗠀
U+17801 𗠁
U+17802 𗠂
U+17803 𗠃
U+17804 𗠄
U+17805 𗠅
U+17806 𗠆
U+17807 𗠇
U+17808 𗠈
U+17809 𗠉
U+1780A 𗠊
U+1780B 𗠋
U+1780C 𗠌
U+1780D 𗠍
U+1780E 𗠎
U+1780F 𗠏
U+17810 𗠐
U+17811 𗠑
U+17812 𗠒
U+17813 𗠓
U+17814 𗠔
U+17815 𗠕
U+17816 𗠖
U+17817 𗠗
U+17818 𗠘
U+17819 𗠙
U+1781A 𗠚
U+1781B 𗠛
U+1781C 𗠜
U+1781D 𗠝
U+1781E 𗠞
U+1781F 𗠟
U+17820 𗠠
U+17821 𗠡
U+17822 𗠢
U+17823 𗠣
U+17824 𗠤
U+17825 𗠥
U+17826 𗠦
U+17827 𗠧
U+17828 𗠨
U+17829 𗠩
U+1782A 𗠪
U+1782B 𗠫
U+1782C 𗠬
U+1782D 𗠭
U+1782E 𗠮
U+1782F 𗠯
U+17830 𗠰
U+17831 𗠱
U+17832 𗠲
U+17833 𗠳
U+17834 𗠴
U+17835 𗠵
U+17836 𗠶
U+17837 𗠷
U+17838 𗠸
U+17839 𗠹
U+1783A 𗠺
U+1783B 𗠻
U+1783C 𗠼
U+1783D 𗠽
U+1783E 𗠾
U+1783F 𗠿
U+17840 𗡀
U+17841 𗡁
U+17842 𗡂
U+17843 𗡃
U+17844 𗡄
U+17845 𗡅
U+17846 𗡆
U+17847 𗡇
U+17848 𗡈
U+17849 𗡉
U+1784A 𗡊
U+1784B 𗡋
U+1784C 𗡌
U+1784D 𗡍
U+1784E 𗡎
U+1784F 𗡏
U+17850 𗡐
U+17851 𗡑
U+17852 𗡒
U+17853 𗡓
U+17854 𗡔
U+17855 𗡕
U+17856 𗡖
U+17857 𗡗
U+17858 𗡘
U+17859 𗡙
U+1785A 𗡚
U+1785B 𗡛
U+1785C 𗡜
U+1785D 𗡝
U+1785E 𗡞
U+1785F 𗡟
U+17860 𗡠
U+17861 𗡡
U+17862 𗡢
U+17863 𗡣
U+17864 𗡤
U+17865 𗡥
U+17866 𗡦
U+17867 𗡧
U+17868 𗡨
U+17869 𗡩
U+1786A 𗡪
U+1786B 𗡫
U+1786C 𗡬
U+1786D 𗡭
U+1786E 𗡮
U+1786F 𗡯
U+17870 𗡰
U+17871 𗡱
U+17872 𗡲
U+17873 𗡳
U+17874 𗡴
U+17875 𗡵
U+17876 𗡶
U+17877 𗡷
U+17878 𗡸
U+17879 𗡹
U+1787A 𗡺
U+1787B 𗡻
U+1787C 𗡼
U+1787D 𗡽
U+1787E 𗡾
U+1787F 𗡿
U+17880 𗢀
U+17881 𗢁
U+17882 𗢂
U+17883 𗢃
U+17884 𗢄
U+17885 𗢅
U+17886 𗢆
U+17887 𗢇
U+17888 𗢈
U+17889 𗢉
U+1788A 𗢊
U+1788B 𗢋
U+1788C 𗢌
U+1788D 𗢍
U+1788E 𗢎
U+1788F 𗢏
U+17890 𗢐
U+17891 𗢑
U+17892 𗢒
U+17893 𗢓
U+17894 𗢔
U+17895 𗢕
U+17896 𗢖
U+17897 𗢗
U+17898 𗢘
U+17899 𗢙
U+1789A 𗢚
U+1789B 𗢛
U+1789C 𗢜
U+1789D 𗢝
U+1789E 𗢞
U+1789F 𗢟
U+178A0 𗢠
U+178A1 𗢡
U+178A2 𗢢
U+178A3 𗢣
U+178A4 𗢤
U+178A5 𗢥
U+178A6 𗢦
U+178A7 𗢧
U+178A8 𗢨
U+178A9 𗢩
U+178AA 𗢪
U+178AB 𗢫
U+178AC 𗢬
U+178AD 𗢭
U+178AE 𗢮
U+178AF 𗢯
U+178B0 𗢰
U+178B1 𗢱
U+178B2 𗢲
U+178B3 𗢳
U+178B4 𗢴
U+178B5 𗢵
U+178B6 𗢶
U+178B7 𗢷
U+178B8 𗢸
U+178B9 𗢹
U+178BA 𗢺
U+178BB 𗢻
U+178BC 𗢼
U+178BD 𗢽
U+178BE 𗢾
U+178BF 𗢿
U+178C0 𗣀
U+178C1 𗣁
U+178C2 𗣂
U+178C3 𗣃
U+178C4 𗣄
U+178C5 𗣅
U+178C6 𗣆
U+178C7 𗣇
U+178C8 𗣈
U+178C9 𗣉
U+178CA 𗣊
U+178CB 𗣋
U+178CC 𗣌
U+178CD 𗣍
U+178CE 𗣎
U+178CF 𗣏
U+178D0 𗣐
U+178D1 𗣑
U+178D2 𗣒
U+178D3 𗣓
U+178D4 𗣔
U+178D5 𗣕
U+178D6 𗣖
U+178D7 𗣗
U+178D8 𗣘
U+178D9 𗣙
U+178DA 𗣚
U+178DB 𗣛
U+178DC 𗣜
U+178DD 𗣝
U+178DE 𗣞
U+178DF 𗣟
U+178E0 𗣠
U+178E1 𗣡
U+178E2 𗣢
U+178E3 𗣣
U+178E4 𗣤
U+178E5 𗣥
U+178E6 𗣦
U+178E7 𗣧
U+178E8 𗣨
U+178E9 𗣩
U+178EA 𗣪
U+178EB 𗣫
U+178EC 𗣬
U+178ED 𗣭
U+178EE 𗣮
U+178EF 𗣯
U+178F0 𗣰
U+178F1 𗣱
U+178F2 𗣲
U+178F3 𗣳
U+178F4 𗣴
U+178F5 𗣵
U+178F6 𗣶
U+178F7 𗣷
U+178F8 𗣸
U+178F9 𗣹
U+178FA 𗣺
U+178FB 𗣻
U+178FC 𗣼
U+178FD 𗣽
U+178FE 𗣾
U+178FF 𗣿
U+17900 𗤀
U+17901 𗤁
U+17902 𗤂
U+17903 𗤃
U+17904 𗤄
U+17905 𗤅
U+17906 𗤆
U+17907 𗤇
U+17908 𗤈
U+17909 𗤉
U+1790A 𗤊
U+1790B 𗤋
U+1790C 𗤌
U+1790D 𗤍
U+1790E 𗤎
U+1790F 𗤏
U+17910 𗤐
U+17911 𗤑
U+17912 𗤒
U+17913 𗤓
U+17914 𗤔
U+17915 𗤕
U+17916 𗤖
U+17917 𗤗
U+17918 𗤘
U+17919 𗤙
U+1791A 𗤚
U+1791B 𗤛
U+1791C 𗤜
U+1791D 𗤝
U+1791E 𗤞
U+1791F 𗤟
U+17920 𗤠
U+17921 𗤡
U+17922 𗤢
U+17923 𗤣
U+17924 𗤤
U+17925 𗤥
U+17926 𗤦
U+17927 𗤧
U+17928 𗤨
U+17929 𗤩
U+1792A 𗤪
U+1792B 𗤫
U+1792C 𗤬
U+1792D 𗤭
U+1792E 𗤮
U+1792F 𗤯
U+17930 𗤰
U+17931 𗤱
U+17932 𗤲
U+17933 𗤳
U+17934 𗤴
U+17935 𗤵
U+17936 𗤶
U+17937 𗤷
U+17938 𗤸
U+17939 𗤹
U+1793A 𗤺
U+1793B 𗤻
U+1793C 𗤼
U+1793D 𗤽
U+1793E 𗤾
U+1793F 𗤿
U+17940 𗥀
U+17941 𗥁
U+17942 𗥂
U+17943 𗥃
U+17944 𗥄
U+17945 𗥅
U+17946 𗥆
U+17947 𗥇
U+17948 𗥈
U+17949 𗥉
U+1794A 𗥊
U+1794B 𗥋
U+1794C 𗥌
U+1794D 𗥍
U+1794E 𗥎
U+1794F 𗥏
U+17950 𗥐
U+17951 𗥑
U+17952 𗥒
U+17953 𗥓
U+17954 𗥔
U+17955 𗥕
U+17956 𗥖
U+17957 𗥗
U+17958 𗥘
U+17959 𗥙
U+1795A 𗥚
U+1795B 𗥛
U+1795C 𗥜
U+1795D 𗥝
U+1795E 𗥞
U+1795F 𗥟
U+17960 𗥠
U+17961 𗥡
U+17962 𗥢
U+17963 𗥣
U+17964 𗥤
U+17965 𗥥
U+17966 𗥦
U+17967 𗥧
U+17968 𗥨
U+17969 𗥩
U+1796A 𗥪
U+1796B 𗥫
U+1796C 𗥬
U+1796D 𗥭
U+1796E 𗥮
U+1796F 𗥯
U+17970 𗥰
U+17971 𗥱
U+17972 𗥲
U+17973 𗥳
U+17974 𗥴
U+17975 𗥵
U+17976 𗥶
U+17977 𗥷
U+17978 𗥸
U+17979 𗥹
U+1797A 𗥺
U+1797B 𗥻
U+1797C 𗥼
U+1797D 𗥽
U+1797E 𗥾
U+1797F 𗥿
U+17980 𗦀
U+17981 𗦁
U+17982 𗦂
U+17983 𗦃
U+17984 𗦄
U+17985 𗦅
U+17986 𗦆
U+17987 𗦇
U+17988 𗦈
U+17989 𗦉
U+1798A 𗦊
U+1798B 𗦋
U+1798C 𗦌
U+1798D 𗦍
U+1798E 𗦎
U+1798F 𗦏
U+17990 𗦐
U+17991 𗦑
U+17992 𗦒
U+17993 𗦓
U+17994 𗦔
U+17995 𗦕
U+17996 𗦖
U+17997 𗦗
U+17998 𗦘
U+17999 𗦙
U+1799A 𗦚
U+1799B 𗦛
U+1799C 𗦜
U+1799D 𗦝
U+1799E 𗦞
U+1799F 𗦟
U+179A0 𗦠
U+179A1 𗦡
U+179A2 𗦢
U+179A3 𗦣
U+179A4 𗦤
U+179A5 𗦥
U+179A6 𗦦
U+179A7 𗦧
U+179A8 𗦨
U+179A9 𗦩
U+179AA 𗦪
U+179AB 𗦫
U+179AC 𗦬
U+179AD 𗦭
U+179AE 𗦮
U+179AF 𗦯
U+179B0 𗦰
U+179B1 𗦱
U+179B2 𗦲
U+179B3 𗦳
U+179B4 𗦴
U+179B5 𗦵
U+179B6 𗦶
U+179B7 𗦷
U+179B8 𗦸
U+179B9 𗦹
U+179BA 𗦺
U+179BB 𗦻
U+179BC 𗦼
U+179BD 𗦽
U+179BE 𗦾
U+179BF 𗦿
U+179C0 𗧀
U+179C1 𗧁
U+179C2 𗧂
U+179C3 𗧃
U+179C4 𗧄
U+179C5 𗧅
U+179C6 𗧆
U+179C7 𗧇
U+179C8 𗧈
U+179C9 𗧉
U+179CA 𗧊
U+179CB 𗧋
U+179CC 𗧌
U+179CD 𗧍
U+179CE 𗧎
U+179CF 𗧏
U+179D0 𗧐
U+179D1 𗧑
U+179D2 𗧒
U+179D3 𗧓
U+179D4 𗧔
U+179D5 𗧕
U+179D6 𗧖
U+179D7 𗧗
U+179D8 𗧘
U+179D9 𗧙
U+179DA 𗧚
U+179DB 𗧛
U+179DC 𗧜
U+179DD 𗧝
U+179DE 𗧞
U+179DF 𗧟
U+179E0 𗧠
U+179E1 𗧡
U+179E2 𗧢
U+179E3 𗧣
U+179E4 𗧤
U+179E5 𗧥
U+179E6 𗧦
U+179E7 𗧧
U+179E8 𗧨
U+179E9 𗧩
U+179EA 𗧪
U+179EB 𗧫
U+179EC 𗧬
U+179ED 𗧭
U+179EE 𗧮
U+179EF 𗧯
U+179F0 𗧰
U+179F1 𗧱
U+179F2 𗧲
U+179F3 𗧳
U+179F4 𗧴
U+179F5 𗧵
U+179F6 𗧶
U+179F7 𗧷
U+179F8 𗧸
U+179F9 𗧹
U+179FA 𗧺
U+179FB 𗧻
U+179FC 𗧼
U+179FD 𗧽
U+179FE 𗧾
U+179FF 𗧿
U+17A00 𗨀
U+17A01 𗨁
U+17A02 𗨂
U+17A03 𗨃
U+17A04 𗨄
U+17A05 𗨅
U+17A06 𗨆
U+17A07 𗨇
U+17A08 𗨈
U+17A09 𗨉
U+17A0A 𗨊
U+17A0B 𗨋
U+17A0C 𗨌
U+17A0D 𗨍
U+17A0E 𗨎
U+17A0F 𗨏
U+17A10 𗨐
U+17A11 𗨑
U+17A12 𗨒
U+17A13 𗨓
U+17A14 𗨔
U+17A15 𗨕
U+17A16 𗨖
U+17A17 𗨗
U+17A18 𗨘
U+17A19 𗨙
U+17A1A 𗨚
U+17A1B 𗨛
U+17A1C 𗨜
U+17A1D 𗨝
U+17A1E 𗨞
U+17A1F 𗨟
U+17A20 𗨠
U+17A21 𗨡
U+17A22 𗨢
U+17A23 𗨣
U+17A24 𗨤
U+17A25 𗨥
U+17A26 𗨦
U+17A27 𗨧
U+17A28 𗨨
U+17A29 𗨩
U+17A2A 𗨪
U+17A2B 𗨫
U+17A2C 𗨬
U+17A2D 𗨭
U+17A2E 𗨮
U+17A2F 𗨯
U+17A30 𗨰
U+17A31 𗨱
U+17A32 𗨲
U+17A33 𗨳
U+17A34 𗨴
U+17A35 𗨵
U+17A36 𗨶
U+17A37 𗨷
U+17A38 𗨸
U+17A39 𗨹
U+17A3A 𗨺
U+17A3B 𗨻
U+17A3C 𗨼
U+17A3D 𗨽
U+17A3E 𗨾
U+17A3F 𗨿
U+17A40 𗩀
U+17A41 𗩁
U+17A42 𗩂
U+17A43 𗩃
U+17A44 𗩄
U+17A45 𗩅
U+17A46 𗩆
