{%⺄1} ⿹⺄
{%舆去车八1} ⿶{舆去车八}
{%舆去车八2} *
{%虍} ⿸虍
{%虍七换匕} ⿸{虍七换匕}
{%虍上} ⿸{虍上}
{%虎} ⿸虎
{%行1} ⿲彳
{%行2} 亍
{%衣1} ⿳亠
{%衣2} 𧘇
{%西1} ⿴西
{%西2} *
{%辶1} ⿺
{%辶2} 辶
{%頁1} ⿻頁⿰
{%頁2} *
{%首1} ⿻首⿰
{%首2} *
{%齊1} ⿵齊
{%齊2} *
{%齊去二1} ⿱{齊上}⿻{丿丨}
{%齊去二2} *
{%龍} ⿺龍
{%龵} ⿸龵
{%𠃊1} ⿺
{%𠃊2} 𠃊
{%𠒂上包1} ⿲{丿下𠃊}
{%𠒂上包2} {コ}
{%𠤎交1} ⿻𠤎
{%𠤎交2} *
{%𠥓1} ⿷𠥓
{%𠥓2} *
{%𠮥交乚} ⿱⺈⿻⿻口乚
{%𡈼1} ⿱⿻千
{%𡈼2} 一
{%𢆉下厂} ⿸⿱⺷丿
{%𢦏1} ⿹𢦏
{%𢦏2} *
{%𢦏土换止1} ⿶⿰⺊丨{%戈1}
{%𢦏土换止2} {%戈2}
{%𢦒1} ⿹𢦒
{%𢦒2} *
{%𦣻1} ⿻𦣻⿰
{%𦣻2} *
{%𦥓框1} ⿱⿻⿰{段左去三}𠃍
{%𦥓框2} 一
{%𦥯上框1} ⿻{𦥯上框}
{%𦥯上框2} *
{%𦥯去爻1} ⿶{𦥯去爻}
{%𦥯去爻2} *
{%𫠠1} ⿹𫠠
{%𫠠2} *
{%𫠠交1} ⿹𫠠
{%𫠠交2} *
{%𭠍1} ⿹𭠍
{%𭠍2} *
{%𭠍交1} ⿹𭠍
{%𭠍交2} *
{%𰀁1} ⿻𰀁
{%𰀁2} *
{%𰀁交1} ⿻𰀁
{%𰀁交2} *
{÷} ⿱亠丶
{☳} ⿱{⚏}一
{☵} ⿳{⚋}一{⚋}
{☷} ⿰三三
{⚋} ⿰一一
{⚏} ⿰二二
{⺀廾‥丶} ⿻⿶丶廾⿲丶{丶丶}丶
{⺀廾丶丶} ⿻⿶丶廾{糹下}
{⺊下㇀} {比左}
{⺊交二} ⿺一𰀁 ⿺𰀁一
{⺕中丨} {%コ1}{十先丨}{%コ2}
{⺕交米} ⿻{反𰀂}米
{⺝刂} ⿰⺝刂
{⺷下𧰨} ⿱⺷𧰨
{⺽左} ⿸{段左去三}二
{⺽穿乚} ⿻⺽乚
{⻗去丷} ⿱一⿻冖{小无钩}
{⻗去八} ⿱一⿻冖⺌
{⻞下} ⿸𠁣二
{⼹交𝍪} ⿻⼹{丨丨}
{〇} 〇
{コ中丨} {%コ1}丨{%コ2}
{コ中卜} {%コ1}{丨交丶}{%コ2}
{ツ下乀} ⿱{ツ}乀
{テ} ⿱一丆
{ユ中丨} {%ユ1}丨{%ユ2}
{ヰ} ⿻{反ユ}丨
{ヰ上平} ⿻{反ユ}丨
{ㄇ中𬼽} ⿵{⺝无钩}丨
{ㄇ交丄} ⿱{巾无钩}一
{ㄇ交𰀁} ⿻ㄇ𰀁
{ㅑ下一} ⿱{ㅑ}一
{ㅒ} ⿻{丨丨}二
{ㅒ下丅} ⿱{ㅒ}丅
{㇄中一} {𠃊中一}
