{%⺊下厂} ⿸{⺊下厂}
{全G} ⿻{人下二}丄
{共卄换⺿} {共卄换⺿}
{关G} {关G}
{关K} {关K}
{其上} ⿵卄三
{冂中三} ⿻⺝一
{册⺆换冂} ⿻{冂冂}一
{冫白く} ⿻{冫く}白
{冫𝍪く} ⿻{冫く}{丨丨}
{凵中𰀁} ⿻二山 ⿶𰀁凵
{凵交出} ⿻凵出
{凹上} ⿲ㄇ一ㄇ
{击去一} ⿻一山 ⿱十凵
{刖J} 刖
{判左G} {判左G}
{判左K} {判左G}
{制左} {制左}
{办去力} 八
{北旁} 北
{十下罒} {十下罒}
{十交𫡃} ⿻𰀁{丨丨}
{十先丨} {十先丨}
{卄先丨} {卄先丨}
{卅交丨} ⿻一{川丨}
{半G} ⿻𰀁{反丷}
{半K} ⿻𰀁{反八}
{单下} ⿱田十
{卖上} {卖上}
{卯头𠁁} ⿱⿰{丿下𠃊}{コ}{亞下}
{印左} {印左}
{及G} 及
{及T} 及
{反⻕} ⿱{反撇}⿰丨⿳匚匚匚 ⻕
{反匕} {反匕}
{反弓} ⿱与㇂ 弓
{反臣} {%コ1}{反臣中}{%コ2}
{反Ｐ先丨} ⿰匚亅
{反𠂤} ⿱{反撇}⿰丨⿱匚匚 𠂤
{受上} {受上}
{叚左} {叚左}
{口丄口} ⿻吅丄
{口下䒑} {口下䒑}
{口丨口} ⿻吅丨
{口交山} ⿻口山
{同无钩} 同
{啇古换口} ⿵{商框}口
{啚G} ⿱口⿴古口
{囗交十} ⿻口十
{囚} ⿴口人
{囟框} ⿱丿口
{土下方} 𫠤
{士下㓁} ⿱士㓁
{士下方} 𫠤
{壬G} {壬G}
{壬T} {壬T}
{天中丷} ⿻𰀆人
{婁上} ⿻口{栆上}
{尹右平} ⿻𫜹丿
{展下} ⿱卄{畏下}
{川中＃} ⿻川{＃}
{州中} ⿰丶丨
{干中⺿} ⿻⿱一{龷卄换⺿}丨
{干中卄} ⿻{一下龷}丨
{广一换乛} {广一换乛}
{惠上} ⿻𣄼{虫去口}
{戠G} ⿻音{戈去一}
{手交一} ⿻{丿下二}𬺰
{手旁} ⿻{チ}一
{拜右} ⿻三十
{斉中𡭔} ⿱文⿻{丿丨}{示无钩}
{曳下} {曳下}
{書上} ⿻肀二
{曹上} ⿻𠀎ㄇ
{木中吕} ⿻束口
{杀T} 杀
{枾右} ⿻𰀁{丿丨}
{栆上} {栆上}
{次G} 次
{此旁} 此
{死旁} 死
{段左} {段左}
{毎下} ⿻{母框}{十先丨}
{比旁} 比
{永G} ⿻丶{永下}
{永下} ⿻{㇇く}𠃌
{烏去一} ⿹⿺⿱丿{コ}㇉灬
{烏灬换一} ⿺⿱丿{コ}与
{焉下} {焉下}
{無上} ⿱⿻{𠂉下一}{𝍬}一
{爫G} 爫
{爲去爫} ⿵⿰丿⿱𠃍{𠃍下𠃌}灬
{瓦去一} {瓦去一}
{甫去丶} ⿻𰀃𰀁
{甬下} {甬下}
{甲交丄} ⿻甲丄
{甲交丿一} ⿻甲⿱丿一
{申带丶} ⿻日卜
{癶去丿} {癶去丿}
{癶又换𠂈} {癶又换𠂈}
{癶𰀪换㇇} {癶𰀪换㇇}
{発下} ⿻兀一
{祭上} {祭上}
