U+2EA5 ⺥ {⺥K}
U+2DB22 𭬢 ⿱⿰⿱{亚中}医殳木
U+2DB58 𭭘 ⿻正㇉
U+2DBB1 𭮱 ⿰⿱一⿺⺕{𠮠下}𪠲
U+2DBC9 𭯉 ⿰每⿱𠂉㐬[GHJK] ⿰每⿱⿻{𠂉下一}厶𫶧[T]
U+2DD48 𭵈 ⿳𠚤⿹𠃍龷灬
U+2DE9C 𭺜 ⿻一⿻九二
U+2DEBE 𭺾 ⿻⿱日龷丨
U+2E2A6 𮊦 ⿳䒑龶⿺儿厶
U+2E301 𮌁 ⿻⿱{ユ}三卜
U+2E34C 𮍌 ⿰丨⿳𠃍𠃍{コ}
U+2E352 𮍒 ⿻⿸疒臣{戈去一}
U+2E665 𮙥 ⿷豸{𰀠右}
U+2E815 𮠕 ⿵⿱一⿻ㄇ{丨丨}三
U+2E81A 𮠚 ⿵⿻⿱{𠂉下一}ㄇ{丨丨}三
U+2E8DD 𮣝 ⿰釒⿳䒑⿻⿸丿㇁⿰口{𰀠右}灬
U+2E976 𮥶 ⿻{𠂉下一}隹
U+2E984 𮦄 ⿻一{㡀下}
U+2E9FB 𮧻 ⿰{音亠换二}{%犮上1}⿺乚三{%犮上2}[JK] ⿰音{%犮上1}⿺乚三{%犮上2}[G]
U+2EA01 𮨁 ⿰⿱上𠃊頁
U+2EBA1 𮮡 ⿳{黽上}⿶{丨丨}{臼丿换一}又 ⿳ㄇ⿶⿰𠃍{Γ}{臼丿换一}又
U+2EBF0 𮯰 ⿻{𝍯}一
U+2EBF1 𮯱 𮯱
U+2EBF2 𮯲 ⿻{𠂉下一}乚
U+2F8AA 慺 慺
U+2F9D2 豕 ⿸㇇{豸下}{𰀠右}
U+2F9FA 韠 ⿰韋⿱田{華下G}[T] ⿰韋⿱田⿻⺿{𠄟交丨}[T]
U+30000 𰀀 ⿻一𠄌
U+30002 𰀂 ⿻匚一
U+30004 𰀄 ⿷匚一
U+30009 𰀉 ⿻一中
U+30020 𰀠 ⿻丨{𰀠右}
U+3005C 𰁜 ⿱亠{丿𝍪丶}
U+300E6 𰃦 ⿻丿冂
U+30367 𰍧 ⿹亅丿
U+30368 𰍨 ⿷亅丶
U+303D8 𰏘 ⿻⿱八冂{𰀪丨⺀}
U+305D0 𰗐 ⿻工{木去一}[K] ⿻{旡去儿}{木去一}[GTHJ]
U+306C4 𰛄 ⿹亅㇇
U+306C5 𰛅 ⿷亅{𰀠右}
U+306C6 𰛆 ⿻丿氺
U+3086E 𰡮 {%王上穿1}丷{%王上穿2}[THJK] ⿻一𰉗[G]
U+30E49 𰹉 ⿻車𠃌
U+31355 𱍕 ⿱一⿻从{木去一}
U+3136B 𱍫 ⿻⿰丨㇎一
U+313F9 𱏹 ⿻{⺝无钩}丨
U+314AD 𱒭 ⿱{亚上}可
U+31761 𱝡 ⿱彑⿲{比左}矢凡 ⿱彑⿲矢{比左}凡
U+3176A 𱝪 ⿷彳㇏
U+318DF 𱣟 {%木1}⺽{%木2}[THJ] ⿻十⿱臼{木去十}[GK]
U+3196E 𱥮 ⿻丿{一交水}
U+3197D 𱥽 ⿻⿱一{皮去又}⿱二{㇇く}
U+3197E 𱥾 ⿰氵⿱一{𠃊上𠔼}[THJK] ⿰氵⿱一⿶丨𠀇[G]
U+319D9 𱧙 ⿰{竖☵}⿱从⿲儿丿{飞右}
U+319FC 𱧼 ⿰氵⿱卝⿵冂⿰〢{飞右}[TH] ⿰氵⿱艹⿵冂⿰〢{飞右}[GJK]
U+319FD 𱧽 ⿰氵⿱业⿻冂{丨穿丿丨}
U+31A35 𱨵 ⿰氵⿱𰅛⿸广⿱二口 ⿰氵⿱𰅛⿰言丿
U+31A37 𱨷 ⿰氵⿵⿰⿸{段左去三}{コ}⿹𠃌匚生
U+31A3C 𱨼 ⿰氵⿳亠{ツ}⿰丨{隹去亻}
U+31A95 𱪕 ⿰氵⿳⿱亠吅⿵ㄇ⿻{丨丨}二示[THGJK]
U+31B34 𱬴 ⿻丿灬
U+31B7B 𱭻 ⿰犭⿻{𠂉下一}大
U+31BA8 𱮨 ⿰犭⿳山⿰亻⿱{ユ}龶乂
U+31BF0 𱯰 ⿰王⿱宀⿳匕⿶丨且{ハ}[TH] ⿰王寘[GJK] ⿰王⿱宀眞[G]
U+31D50 𱵐 ⿰示⿻日{丨穿八}[TH] ⿰礻⿻日{丨穿八}[G] ⿰𱍐⿻日{丨穿八}[JK]
U+31D89 𱶉 ⿹⿸{段左去三}⿱⿻𠃍三𠃌禾
U+31EF1 𱻱 ⿱⿸{段左去三}⿱{コ}一而
U+31FAD 𱾭 ⿳⿳艹⿻二中冖口土
U+320A1 𲂡 ⿰豕⿳五⿻丨{ユ}口
U+32135 𲄵 ⿰車⿱{𠂉下一}{丄交丨}[K] ⿰車⿱{𠂉下一}{𠃋交丨}[GTHJ]
U+321A1 𲆡 ⿲⿳⿱口丅𠃑一⿱廿𠬞⿳口{コ中丨}乚 ⿲⿳口{%匚1}丨{%匚2}{反乚}⿱廿𠬞⿳口{コ中丨}乚[G]
U+323C0 𲏀 ⿻⿱丿口卜
U+323C7 𲏇 ⿷乙⿰丶丶
U+324DA 𲓚 ⿻丿匹
U+329F1 𲧱 ⻊
U+32F37 𲼷 ⿱艹⿵ㄇ⿱丛丛
