{%⺶} ⿱䒑⿸{𰀁歪}
{其八换儿} ⿱{其上}儿
{冂中⺀} ⿵冂⺀
{冡下} ⿱二𧰨
{凵交出} ⿻凵出
{凵交𠂤} ⿻凵𠂤
{凹上} ⿲丨㇅ㄇ
{办去力} 八
{十先丨} {十先丨}
{卄交口} ⿻𠮛{丨丨}
{卄交木} ⿻龷{木去一}
{卅交丨} ⿻一{川丨}
{卑上} ⿻白丿
{单下} {单下}
{即左} ⿺𫜹厶
{卿中K} ⿸{段左去三}⿱𫜹二
{及G} ⿻乃㇏
{反⻕} ⿱㇏⿰丨⿳匚匚匚
{反匕} ⿶㇏{反乚}[GJK] ⿶一{反乚}[TH]
{反夬} ⿻{Γ}大
{反弓} ⿳{一下𠃑}一㇂
{反臣} ⿹𠃍⿳丨匚丄
{反𠂤} ⿱㇏⿰丨⿱匚匚
{反𦣞} ⿹𠃍⿳丨口丄
{口交山} ⿻口山
{哥上G} 可
{囗中三} {囗中三}
{囗中凵} ⿵ㄇ⿱凵一
{囗交十} ⿻囗十
{囗交卄} ⿻罒一
{囟框} ⿱丿囗
{土中八} ⿱木一
{土矢匕} ⿲土矢匕 ⿲矢土匕
{壬G} ⿻丿士
{壬T} ⿻一士
{天中丷} ⿻一{龹去一}
{寿上} ⿻三丿
{小丶} ⺗
{尸中十} ⿰⿹𠃍土丿
{尹右平} ⿻𫜹丿
{屮穿八} ⿻凵{丨穿八}
{州中} ⿰丶丨
{州左} ⿰丶丿
{巾中⚏} ⿻冂{二丨二}
{巾中＃} ⿻冂{二交〣}
{巾交＃} ⿻冂⿻{〢丨}二
{巾无钩} ⿻ㄇ丨
{带上} ⿻一{𝍫}
{干中卄} ⿻{一下龷}丨
{廿交一} ⿻一廿
{心去丿} ⿺乚⿰丶丶
{惠上} ⿺{土中日}丶
{手旁} 龵
{拜右} ⿻三十
{斉下} {斉下}
{曳下} {曳下}
{曹上} ⿻一曲
{横申} ⿻囗十
{歹V} ⿻一{麥下}
{毎下} ⿻{母框}{十先丨}
{永G} ⿻丶{永下}
{烏上} ⿸{段左去三}⿳{コ}一𠃌
{烏去一} ⿱⿸{段左去三}{コ}⿹𠃌灬
{烏灬换一} ⿹{烏上}一
{無上} ⿱⿻{𠂉下一}{𝍬}一
{熏上} ⿻⿳丿一{柬中}{土先丨}
{片丿换丨} ⿰丨⿱𠃎𠃍
{片𠃍换丅} ⿰丿{丄下丅}
{甫去丶} ⿻一{𬎾下G}
{甬下} ⿻⺝丨
{甲交𠃊} ⿻日{𠃊交丨}
{申带丶} ⿻日卜
{畏下} ⿻一{𧘇下}
{畏田换丅} ⿱工{𧘇下}
{癶去丿} {癶去丿}
{癶𰀪换㇇} {癶𰀪换㇇}
{示无钩} ⿱二{小无钩}
{祭上} {祭上}
{祭右上} ⿺㇇㇏
{穴头T} ⿱宀儿
{立亠换二} ⿱二䒑
{糹車糹} {%糹糹包1}車{%糹糹包2} ⿲車糹糹
{羊连水} ⿻兰水
{羊连氺} ⿻兰氺
{羚左} ⺶
{羽G} {羽G}
{羽K} {羽K}
{耒G} ⿻三{木去一}
{耒T} ⿻丿未
{耳下平} ⿵{𝍯}三
{肀穿八} ⿻{反𰀂}{小无钩}
{臼⚋换⚏} ⿱⺽一
{舌G} ⿻丿古
{舟÷换十} ⿻{𠔾去一}{十先丨}
{艮Ｋ换匕} ⿺𫜹{比左}
{艹G} 艹
{菐下} ⿱䒑夫
{華下T} ⿱一⿻⺿{𠄟交丨}
{虍七换匕} {%虍上}匕
{虛下} ⿻⿲{丨丨}𠃊𠃎一
{虫去口} ⿺{丨下㇀}丶
{衰中} ⿻口一
{襾下一} ⿱一{%囗交1}{廿下}{%囗交2}
{覀下} ⿻ㄇ{ㅛ}
{覀𝍯换卄} ⿻一{覀下}
{讎头} 讎 {%中言1}隹{%中言2}隹
{豸下} ⿹㇁𰀪
{身去三丿} 𰃦
{车旁} {车旁}
{辶G} ⻌
{邦左G} ⿻三丿
{邦左T} ⿻丿{𰀁歪}
{酉儿换ㅛ} ⿴覀二
{酉儿换𝍪} ⿴覀一
{重日换口} ⿻⿱丿𠮛{土先丨}
{镸上} {镸上}
{雋下} ⿲丨㇅冂
{音亠换二} ⿱二𣅑
{马上} {马上}
{骨上G} {骨上}
{骨上T} {骨上}
{鬼去厶} ⿻白{冘下}[GU] ⿱甶儿[THJKV]
{鱼上} {鱼上}
{鳥上} ⿸{段左去三}⿳𫜹一𠃌
{鳥去丿} ⿱⿰丨⿱𫜹一⿹𠃌灬
{鸟上} ⿺勺㇉
{鹿上} ⿸广{%コ1}{丨丨}{%コ2}
{鼎右下} ⿱𠃎𠁡
{鼎左下} ⿹𠃑丆
{鼠下} ⿲⿰𠄌⺀⿰𠄌⺀㇂[GJKV] ⿲⿰𠄌二⿰𠄌二㇂[TH]
{龜下} {龜下}
{龷中一} ⿵卄二
{龷卄换⺿} ⿱⺿一
{𝍣} ⿱三一
{𝍫交一} ⿻{𝍫}一
{𝍰交冖} ⿱一⿻冖{𝍫}
{𠀍下一} ⿱{带上}二
{𠀎中丨} ⿱⿻二{𝍫}一
{𠁅上} ⿱一⿻{皮去又}二
{𠂇先丿} {𠂇先丿}
{𠂉下一} {𠂉下一}
{𠂉下二} ⿱{𠂉下一}一
{𠂉下正} ⿱{𠂉下一}止
{𠂝下平} ⿱丿{中下平}
{𠂝中丷} ⿱丿⿻{柬中}丨
{𠃋交十} 牜
{𠃋交十钩} 牜
{𠄎中㐅} ⿻乃丶
{𠔉K} ⿻八夫
{𠔾交丶} ⿻{𠔾去一}⿻丶一
{𠚖框} 凵
{𠚜框} 凵
{𠚡框} 凵
{𠤎先乚} {𠤎先乚}
{𠬩上} 𠃜
{𠮠下} 勹
{𡛹上} {𡛹上}
{𡫤中} {𡫤中}
{𡳿上} ⿻丨⿰𠃊𠃎
{𡷊上} ⿺⿱勺一㇉
{𡸭上} ⿱⿰{亞左}⿱㇎{Γ}一
{𣶒中断} ⿻{𣶒去一}{⚋}
{𣶒右} ⿹丩{Γ}
{𤓯㇏换丨} ⿻一{丨穿丿丨}
{𤓯八换ハ} ⿻一{小无钩}
{𥉢右上} 亞
{𦆕头} {%糸糸包1}車{%糸糸包2} ⿲車糸糸
{𦈢G} ⿻{𠂉下一}止
{𦈢T} ⿻{𠂉下一}{𬼉下}
{𦣝中} ⿳丨⿰丨{コ}丨
{𦮙下} ⿻乂⿱⿰凵凵⿰冂冂
{𧀍下框} 凵
{𧘇下} {𧘇下}
{𪚴𠂭换一} {龜下}
{𪚴𠂭换二} {龜下}
{𫞴上} {𫞴上}
{𬎾下G} ⿻⺝丨
{𬎾下T} ⿻月丨
{𬞂中} {𬞂中}
{𬺷去一} ⿹⿸丿㇁丿
{𬺻去一} ⿸丿{豸下}
{𬻞贯穿} ⿳{黽上}⿲{丨丨}匚{コ}一 ⿳ㄇ⿲卝匚{コ}一
{𬼉千换亻} ⿱丿{𬼉下} 𠂛
{𬼽穿儿} ⿱二{丨穿儿}
{𭾽上} {𭾽上}
{𮓙上} ⿻一⿰{𭆄中}丿
{𰀁中卄} {%十交1}龷{%十交2}
{𰀁先丨} {𰀁先丨}
{𰀪⺀} ⿰𰀪⺀
{𰃦无钩} ⿱丿ㄇ
{𰍧⺀} ⺗
{𱍐K} ⿱二{丨穿丿丨}
{𲅯中} ⿻囗十
