{%⺽1} ⿲{⺽左}
{乑下提} {%中𠄌1}𰀪{%中𠄌2}{𰀠右} ⿰𰀪{𧘇下}
{乑有提} ⿱丿{%中𠄌1}𰀪{%中𠄌2}{𰀠右}
{习K} ⿹𠃌𰀪
{争下} ⿻{反𰀂}亅
{二下一} ⿱二一
{二丨二} ⿻丨{⚏}
{互中} ⿻𠃋𠃍
{亙中} ⿵{亙中去⺀}⺀
{亙中去⺀} ⿰丨𠃍
{亙中去丶} ⿵{亙中去⺀}丶
{亥中} ⿶𠃋丿
{倉中} ⿰𫜹丿
{兆左} ⿶丿冫
{其上} ⿵卄三
{其八换儿} ⿱{其上}儿
{具上G} ⿱{ㄇ中三}一
{冂中⺀} ⿵冂⺀
{冘下} ⿸丿乚
{冫く} ⿰冫{飞右}
{冫𝍪く} {%丨丨穿1}冫{%丨丨穿2}{飞右}{%丨丨穿3}
{凵中⚏} ⿱⿰{ㅑ}{ㅕ}一 ⿶{⚏}凵
{切左} ⿻一𠄌
{办去力} ⿰丶丶
{匕G} ⿺丿乚
{匕T} ⿺一乚
{匕先乚} ⿺乚丿
{北左} ⿰丨⿱一㇀[GJKV] ⿱{卝左}㇀[TH]
{十先丨} ⿻丨一
{卄交口} ⿻𠮛{丨丨}
{卄先丨} ⿻{丨丨}一
{卅交丨} ⿻一{川丨}
{卑上} ⿻白丿
{卬左} ⿱丿𠄌
{即左} ⿸{艮上}丶
{卿中K} ⿸{段左去三}⿱𫜹二
{反⻕} ⿱{反撇}⿰丨⿳匚匚匚
{反ユ} ⿱{Γ}一
{反匕} ⿶{反撇}{反乚}[GJK] ⿶一{反乚}[TH]
{反巴} ⿶{%匚1}丨{%匚2}{反乚}
{反弓} ⿳{一下𠃑}一㇂
{反犭} ⿸⿻{反撇}㇂{反撇}
{反𠂤} ⿱{反撇}⿰丨⿱匚匚
{反𰀂} ⿻𠃍𠄟
{哥上G} ⿱一𠮝
{囗中三} {%囗1}三{%囗2}
{囟框} ⿱丿囗
{土先丨} ⿻丨二
{夊中丶} ⿻夕㇏
{婁上} ⿻{衰中}{中下平}
{寿上} ⿻三丿
{小无钩} 𡭔
{尔上} ⿰丿乛
{尹右平} ⿻𫜹丿
{巜巜} ⿰巜巜
{川丨} ⿰{丿丨}{丨丨}
{州中} ⿰丶丨
{州左} ⿰丶丿
{巾无钩} ⿻ㄇ丨
{带上} ⿻一{𝍫}
{帶上} ⿻一{%丿乚1}{廿下}{%丿乚2}
{廿下} ⿱{丨丨}一
{廿交一} ⿻一廿
{弓无钩} ⿱{コ}𠃑
{惠上} ⿺{土中日}丶
{手旁} ⿱丿{𰀁歪}
{改左G} ⿱{コ}𠄌
{攺左G} ⿺{コ}𠄌
{旡去儿} ⿱一𠃋
{曹上} ⿻一曲
{曾中} {%囗1}⺌{%囗2}
{木去一} ⿻丨{木去十}
{木去十} ⿰丿㇏
{木钩去一} ⿻亅{木去十}
{柬中} {%囗1}丷{%囗2}
{横三撇} ⿲丿丿丿
{横三点} ⿲丶丶丶
{横四点} ⿰{横三点}丶
{段左去三} ⿱丿丨
{毌框} ⿻𠃊𠃍
{母框} ⿻𠃊𠃌
{毎下} ⿻{母框}{十先丨}
{比左} ⿺一𠄌
{氏去𫠠} ⿱丿𠄌
{民上} ⿺{コ}𠄌
{气} 气[G] ⿳𠂉一乙[THJK]
{氺无钩} ⿻丨{冫く}
{炙上} 𱼀[GJKVU] ⿵𠂊冫[TH]
{烏上} ⿳丿⿸{Ｐ先丨}一𠃌
{烏去一} ⿳丿{Ｐ先丨}⿹𠃌灬
{爫G} ⿱丿⺍
{片丿换丨} ⿰丨⿱𠃎𠃍
{片𠃍换丅} ⿰丿{丄下丅}
{甫去丶} ⿻一{𬎾下G}
{甲交𠃊} ⿻日{𠃊交丨}
{畏下} ⿱一{𧘇下}
{癶去丿} ⿰{癶左}{𰀠右}
{癶左} ⿹㇇丶
{癶𰀪换㇇} ⿰{癶左}{祭右上}
{皮去又} ⿻{丿乛}丨
{示无钩} ⿱二{小无钩}
{祭上} ⿰{炙上}{祭右上}
{祭右上} ⿺㇇㇏
{禾有钩} ⿱丿{木钩}
{穴头T} ⿱宀儿
{立亠换二} ⿱二䒑
{竖☵} ⿻丨⿱{丨丨}{丨丨}
{糹下} ⿲丶丶丶
{纟上} ⿱𠃋𠃋
{羊连水} ⿻兰水
{羊连氺} ⿻兰氺
{羚左} ⿱䒑{𰀁歪}
{耒G} ⿻三{木去一}
{耒T} ⿻丿未
{臼⚋换⚏} ⿱⺽一
{臼丿换一} ⿱⿰⿸{Γ}一⿹𠃍一一
{舟÷换十} ⿻{𠔾去一}{十先丨}
{艹G} ⿻一{丨丨}
{菐下} ⿱䒑夫
{虍七换匕} {%虍上}匕
{虍上} ⿱⺊{丿乛}
{虛下} ⿱⿲{丨丨}𠃊𠃎一
{虫去口} ⿺{丨下㇀}丶
{衰中} ⿻口一
{襾下一} ⿱一{%囗交1}{廿下}{%囗交2}
{覀下} ⿻ㄇ{ㅛ}
{覀𝍯换卄} ⿻一{覀下}
{豸下} ⿹㇁𰀪
{身去三丿} ⿱丿冂
{车旁} ⿻{东上}⿻丨㇀
{辶G} ⿱𪜊乀
{邦左G} ⿻三丿
{邦左T} ⿻丿{𰀁歪}
{酉儿换ㅛ} ⿱一{%囗1}⿱{丨丨}二{%囗2}
{酉儿换𝍪} ⿱一{%囗1}⿱{丨丨}一{%囗2}
{隹中丨} ⿲亻丨{隹去亻}
{隹去亻} ⿱亠龶[GTHU] ⿳丿一龶[JKV]
{雨T} ⿱一𠕒
{雨点换⚏} ⿵帀{⚏}
{音亠换二} ⿱二𣅑
{顾左下} ⿺𠃌𠄌
{飞右} ⿱丿丶
{馬上} ⿱⿸{Γ}𰀁𠃌
{骨K} ⿳𭁟冖⺝
{鬼去厶} ⿻白{冘下}[GU] ⿱甶儿[THJKV]
{鳥上} ⿳丿⿸𠁣一𠃌
{鸟上} ⿱丿⿺⿹𠃌丶㇉
{鹿上} ⿸广{%コ1}{丨丨}{%コ2}
{鹿旁} ⿸{鹿上}{比旁}[GTH] 鹿[JKV]
{麥下} ⿻𠂊丶
{黽左下} ⿸{Γ}二
{鼎右下} ⿱𠃎𠁡
{鼎左下} ⿹𠃑丆
{鼠下} ⿲⿰𠄌⺀⿰𠄌⺀㇂[GJKV] ⿲⿰𠄌二⿰𠄌二㇂[TH]
{龜外} ⿰⿱{反𰀂}{反𰀂}{%コ1}㐅{%コ2}[GJKV] ⿹⿳⿻𠃍𠃍一{反𰀂}㐅[TH]
{龷中一} ⿵卄二
{龷卄换⺿} ⿱⺿一
{𝍫} ⿰{丨丨}丨
{𝍫交一} ⿻{𝍫}一
{𝍬} ⿰{丨丨}{丨丨}
{𝍰交冖} ⿱一⿻冖{𝍫}
{𠀎中丨} ⿱⿻二{𝍫}一
{𠂇先丿} ⿻丿一
{𠂝下平} ⿱丿{中下平}
{𠂝中丷} ⿱丿⿻{柬中}丨
{𠂢下} ⿸{氏去𫠠}{𰀠右}
{𠂭去㐅} ⿳丶{丶丶}丶
{𠃊中一} ⿺一𠃊
{𠎜左} ⿵⿰⿳丨一丨𠃑⿱{⚏}一 ⿶⿱⿰𠃎𠃊{⚏}凵
{𠔉K} ⿻八夫
{𠔾交丶} ⿻{𠔾去一}⿻丶一
{𠚒去一} ⿰⿸{丱右}二⿹丩二 ⿶⿰𠃎𠃊⿰{ㅑ}{ㅕ}
{𠚖框} ⿴凹八
{𠚜框} 凹
{𠚡框} ⿴凹⿱{⚋}⿻八丨
{𠤎先乚} ⿻乚丿
{𠬝上} ⿰𠃌丨
{𠬩上} ⿰{コ中丨}丨
{𠮠下} ⿰丿𠃌
{𡛹上} ⿰夕{祭右上}
{𡫤中} ⿻{衰中}{𡝤上}
{𡳿上} ⿻丨⿰𠃊𠃎
{𡷊上} ⿱丿⿺⿹𠃌丶{与上}
{𡸭上} ⿱⿰{亞左}⿱㇎{Γ}一
{𢦍去一} ⿺⿻㇂𰀪丶
{𣶒中断} ⿲丿⿳𠃎一𠃍⿹丩⿱一{Γ}
{𣶒右} ⿹丩{Γ}
{𣷻右} {%二1}⿱⿵ㄇ⿱ㄇ一一{%二2} {%二1}⿴⿰𠃍丨⿺{コ}𠃊{%二2}
{𤕫左} ⿶丿⿱𠃊丆
{𥉢右上} 亞
{𦣝中} ⿳丨⿰丨{コ}丨
{𦥓㐅换一} {%𦥓框1}一{%𦥓框2}
{𦥯上框} ⿰{段左去一}{𠃍中二}
{𦮙下} ⿻乂⿱⿰凵凵⿰冂冂
{𧀍下框} ⿴凹⿱{⚋}八
{𧘇左} ⿱丿𠄌
{𧘇无提} ⿰亻{𰀠右}
{𫞴上} ⿰夕{癶右}
{𬞂中} ⿰{炙上}{癶右}
{𬺷去一} ⿹⿸丿㇁丿
{𬺻去一} ⿸丿{豸下}
{𬻂廾换卄} ⿻一{%丨丨1}{廿下}{%丨丨2}
{𬼉下} ⿺⺊𠃊
{𬼽穿儿} ⿻𬼽儿
{𭾽上} ⿰{炙上}{𰀠右}
{𮓙上} ⿰⿱一⿻𠃍土丿
{𰀁先丨} ⿻丨二
{𰀁歪} ⿻二丿
{𰀠右} ⿱丿㇏
{𰀪⺀} ⿰𰀪⺀
{𰀪丨⺀} ⿻丨{𰀪⺀}
{𰀪亅⺀} ⿻亅{𰀪⺀}
{𰃦} {𰃦无钩}[GJKV] 𰃦[TH]
{𰃦无钩} ⿱丿ㄇ
{𱍐K} ⿻𬼽{丿丨}
