U+65E5 日 ⿱{ㄇ中一}一
U+66F0 曰 {%囗1}一{%囗2}
U+66F2 曲 {%囗交1}卄{%囗交2}
U+6708 月 ⿵⺆二
U+6728 木 ⿻十{木去十}
U+6729 朩 ⿻𬺰{ハ}
U+672A 未 ⿻二{木去一}
U+6B62 止 ⿺⺊丄
U+6BCC 毌 ⿻{毌框}{十先丨}
U+6BCD 母 ⿻{母框}{÷}
U+6BDB 毛 ⿱丿{二交乚}
U+6C0F 氏 ⿸{氏去𫠠}𫠠
U+6C14 气 ⿱{𠂉下一}⺄
U+6C34 水 ⿻亅{㇇く}
U+6C35 氵 ⿱⺀㇀
U+6C3A 氺 ⿻亅{冫く}
U+706B 火 ⿻丷人
U+706C 灬 ⿰{糹下}丶
U+70CF 烏 ⿹{烏上}灬
U+722A 爪 ⿸⺁⿰丨㇏
U+723F 爿 ⿹丩丆
U+7247 片 ⿰丿⿱丄𠃍
U+7259 牙 ⿹{𡕒钩}丿
U+725B 牛 ⿶丿𰀁
U+725C 牜 ⿻{牛上}㇀
U+72AD 犭 ⿹⿻丿㇁丿
U+738B 王 ⿱一土
U+74DC 瓜 ⿸⺁⿰厶㇏[GTHU] ⿸⺁⿰{虫去口}㇏[JKV]
U+7518 甘 ⿵卄二
U+751F 生 ⿶丿龶
U+752B 甫 ⿺{甫去丶}丶
U+7530 田 {%囗1}十{%囗2}
U+7531 由 {%囗交1}十{%囗交2}
U+7532 甲 ⿻日丨
U+7533 申 ⿻日丨
U+7534 甴 {%囗交1}丄{%囗交2}
U+7592 疒 ⿰广冫
U+7676 癶 ⿰{癶左}{癶右}
U+767D 白 ⿱丿日
U+76AE 皮 ⿸{皮去又}又
U+76BF 皿 ⿱⺵一
U+76EE 目 ⿱{⺝无钩}一
U+77F3 石 {%丆}口
U+793A 示 ⿱二小[GJKVU] {示无钩}[TH]
U+793B 礻 ⿱丶⿸㇇卜[GTHJK] ⿱一⿸㇇卜[V]
U+79BE 禾 ⿱丿木
U+7A74 穴 ⿱宀八
U+7ACB 立 ⿱亠䒑
U+7C73 米 ⿻丷木
U+7C9B 粛 ⿻⿱肀{丿丨}{䒑下八}
U+7CF8 糸 ⿱幺小[GTHVU] ⿱幺{小无钩}[JK]
U+7CF9 糹 ⿱幺{糹下}
U+7E9F 纟 ⿱{纟上}㇀
U+7F52 罒 ⿱⺵一
U+7F8A 羊 ⿱䒑𰀁
U+8002 耂 ⿻土丿
U+800C 而 ⿱丆𦉫
U+8033 耳 ⿻{𝍯}三
U+8080 肀 ⿻{反𰀂}丨
U+81E3 臣 {%匚1}{臣中}{%匚2}
U+81EA 自 ⿱丿目
U+81FC 臼 ⿱⿰⿱丿⺊⿹𠃍一一
U+821F 舟 ⿻{𠔾去一}{÷}[GTHVU] ⿻{𠔾去一}{亠下丨}[JK]
U+826E 艮 ⿸{艮上}{𰀠右}
U+864D 虍 {%虍上}七
U+866B 虫 ⿻口{虫去口}
U+8864 衤 ⿱丶⿸㇇⿰丨{飞右}[GTHJKU] ⿱一⿸㇇⿰丨{飞右}[V]
U+897E 襾 ⿱一⿻ㄇ{廿下}
U+897F 西 ⿱一𠁤
U+8980 覀 ⿱一{覀下}
U+898B 見 ⿱目儿
U+89C1 见 ⿱ㄇ{冘下}
U+8A00 言 ⿳亠二口[GTHVU] ⿱亖口[JK]
U+8A01 訁 言
U+8BA0 讠 ⿱丶㇊
U+8C56 豖 ⿷⿻𬺻丶{𰀠右}
U+8C78 豸 ⿱𫜵{豸下}[GTHJKU] ⿱𱼀{豸下}[V]
U+8C9D 貝 ⿱目{ハ}
U+8D1D 贝 ⿱ㄇ人
U+8D70 走 ⿱土龰
U+8DB3 足 ⿱口龰
U+8EAB 身 ⿻𨈑丿
U+8ECA 車 ⿻亘丨
